Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
3/2/2020,8.387,75,84,11.9,0
4/30/2017,12.64,75,84,10.2,0.01
11/11/2017,21.588,75,84,8.5,0
11/27/2019,10.366,76,84,14.1,0
3/26/2019,15.197,77,84,6.7,0
9/30/2016,29.563,81,84,3.9,0
7/9/2017,18.501,82,84,6.4,0
11/5/2020,16.659,83,84,7.9,0
3/30/2020,12.382,83,84,8.6,0
10/10/2016,20.678,84,84,3.5,0
12/3/2020,16.13,84,84,9,0
10/9/2017,18.172,86,84,8,0
8/6/2017,26.397,87,84,6.1,0
5/19/2017,28.193,89,84,16,0
5/18/2017,26.111,90,84,15.5,0
7/14/2019,36.554,92,84,6.5,0.45
1/8/2017,15.512,93,84,7.3,0
7/26/2019,26.382,93,84,6.9,0
7/6/2020,37.439,94,84,9.8,0.02
3/8/2019,25.433,94,84,3.7,0
6/18/2017,31.108,95,84,9.4,0
5/7/2016,45.24,96,84,9.3,0
11/7/2019,40.537,96,84,6.3,0
4/9/2019,38.999,98,84,7.4,0
11/13/2019,14.334,45,85,4.2,0
2/27/2020,12.04,60,85,3.3,0
3/28/2020,12.326,80,85,7.8,0
11/26/2019,10.352,81,85,9.6,0
1/3/2017,15.812,83,85,11.2,0
11/6/2019,26.084,88,85,7.4,0
4/28/2017,27.573,90,85,15.8,0
5/26/2017,22.209,90,85,11,0
5/5/2020,23.301,91,85,6.9,0
5/23/2020,29.18,91,85,12.9,0
8/31/2017,27.518,92,85,7,0
7/15/2019,45.42576743,92,85,9.1,0
6/17/2017,26.021,92,85,9.1,0
5/27/2017,30,93,85,11.1,0
1/7/2020,39.825,94,85,9.8,0
10/6/2020,31.555,94,85,8,0.09
7/24/2017,16.727,95,85,7.2,0.17
3/7/2016,63.001,95,85,9.5,0
8/16/2017,34.792,95,85,9,0
8/14/2017,34.663,96,85,8.3,0
9/6/2020,47.132,96,85,8.4,0
8/15/2017,32.002,96,85,7.8,0
2/7/2020,44.567,96,85,6,0
9/14/2019,34.391,96,85,7.2,0
4/7/2016,58.908,97,85,9.5,0
12/7/2016,43.278,97,85,9.6,0
8/17/2017,35.281,97,85,7.3,0
8/17/2019,46.031,98,85,8.1,0
7/8/2019,41.433,98,85,6.5,0
12/8/2016,57.734,98,85,8.4,0
9/8/2019,29.747,99,85,7.5,0
7/27/2018,39.746,99,85,4.8,0
7/29/2017,22.195,99,85,7.3,0
8/8/2019,42.648,99,85,7.4,0
11/8/2019,36.418,100,85,6.6,0
11/8/2016,56.953,100,85,8,0
12/8/2019,46.382,100,85,7.3,0
8/13/2019,52.836,101,85,6.4,0
4/3/2019,13.856,42,86,14,0
10/11/2018,9.481,50,86,8.6,0.03
6/2/2020,11.622,52,86,11.5,0.09
1/15/2019,12.968,54,86,4.6,0
3/31/2019,9.685,55,86,14.6,0
10/31/2019,11.293,57,86,13.8,0.24
1/13/2019,12.397,59,86,8,0
4/12/2018,9.943,61,86,7.8,0
12/12/2019,9.588,62,86,3.3,0
12/22/2019,4.875,62,86,7.2,0
9/1/2017,9.881,65,86,11,0
1/23/2018,8.49,65,86,5.6,0
