StartDate,Value__kWh_,day_of_week,notes
2/1/2018 10:00:00,0.375,3,weekday
6/21/2018 17:00:00,0.375,3,weekday
1/3/2019 21:00:00,0.375,3,weekday
3/28/2019 0:00:00,0.375,3,weekday
10/17/2019 0:00:00,0.375,3,weekday
7/2/2020 7:00:00,0.375,3,weekday
8/12/2016 17:00:00,0.375,4,weekday
12/16/2016 8:00:00,0.375,4,weekday
5/5/2017 3:00:00,0.375,4,weekday
4/13/2018 17:00:00,0.375,4,weekday
12/21/2018 1:00:00,0.375,4,weekday
1/18/2019 9:00:00,0.375,4,weekday
11/29/2019 5:00:00,0.375,4,weekday
2/28/2020 13:00:00,0.375,4,weekday
3/6/2020 12:00:00,0.375,4,weekday
6/19/2020 9:00:00,0.375,4,COVID_lockdown
6/25/2016 7:00:00,0.375,5,weekend
12/10/2016 9:00:00,0.375,5,weekend
1/28/2017 9:00:00,0.375,5,weekend
10/14/2017 14:00:00,0.375,5,weekend
11/3/2018 17:00:00,0.375,5,weekend
8/25/2018 9:00:00,0.375,5,weekend
3/2/2019 4:00:00,0.375,5,weekend
3/30/2019 17:00:00,0.375,5,weekend
5/4/2019 18:00:00,0.375,5,weekend
6/22/2019 8:00:00,0.375,5,weekend
2/9/2019 9:00:00,0.375,5,weekend
5/16/2020 6:00:00,0.375,5,COVID_lockdown
9/18/2016 8:00:00,0.375,6,weekend
4/10/2016 4:00:00,0.375,6,weekend
4/30/2017 19:00:00,0.375,6,weekend
4/8/2018 8:00:00,0.375,6,weekend
4/8/2018 14:00:00,0.375,6,weekend
10/21/2018 3:00:00,0.375,6,weekend
10/6/2019 12:00:00,0.375,6,weekend
11/1/2020 16:00:00,0.375,6,weekend
1/26/2020 7:00:00,0.375,6,weekend
3/29/2020 16:00:00,0.375,6,COVID_lockdown
9/6/2020 9:00:00,0.375,6,weekend
6/20/2016 7:00:00,0.5,0,weekday
5/9/2016 10:00:00,0.5,0,weekday
2/19/2018 23:00:00,0.5,0,weekday
7/1/2019 19:00:00,0.5,0,weekday
6/17/2019 2:00:00,0.5,0,weekday
8/22/2017 7:00:00,0.5,1,weekday
5/1/2018 17:00:00,0.5,1,weekday
9/4/2018 6:00:00,0.5,1,weekday
10/1/2019 18:00:00,0.5,1,weekday
8/17/2016 14:00:00,0.5,2,weekday
2/15/2017 20:00:00,0.5,2,weekday
2/8/2017 2:00:00,0.5,2,weekday
7/21/2016 1:00:00,0.5,3,weekday
10/20/2016 11:00:00,0.5,3,weekday
10/27/2016 13:00:00,0.5,3,weekday
11/8/2018 7:00:00,0.5,3,weekday
12/19/2019 2:00:00,0.5,3,weekday
1/13/2017 14:00:00,0.5,4,weekday
6/2/2017 21:00:00,0.5,4,weekday
2/24/2017 18:00:00,0.5,4,weekday
10/6/2017 3:00:00,0.5,4,weekday
11/2/2018 15:00:00,0.5,4,weekday
7/27/2018 9:00:00,0.5,4,weekday
5/3/2019 9:00:00,0.5,4,weekday
3/29/2019 1:00:00,0.5,4,weekday
1/9/2016 14:00:00,0.5,5,weekend
6/11/2016 10:00:00,0.5,5,weekend
3/12/2016 13:00:00,0.5,5,weekend
2/16/2019 11:00:00,0.5,5,weekend
3/14/2020 18:00:00,0.5,5,COVID_lockdown
9/22/2019 12:00:00,0.5,6,weekend
1/23/2017 17:00:00,0.625,0,weekday
2/6/2017 5:00:00,0.625,0,weekday
2/11/2019 4:00:00,0.625,0,weekday
6/30/2020 7:00:00,0.625,1,COVID_lockdown
7/5/2017 3:00:00,0.625,2,weekday
2/8/2017 14:00:00,0.625,2,weekday
3/28/2018 5:00:00,0.625,2,weekday
4/3/2019 15:00:00,0.625,2,weekday
6/23/2016 12:00:00,0.625,3,weekday
11/3/2017 18:00:00,0.625,4,weekday
12/24/2018 19:00:00,0.75,0,weekday
9/28/2016 2:00:00,0.75,2,weekday
7/19/2017 4:00:00,0.75,2,weekday
12/27/2018 10:00:00,0.75,3,weekday
3/28/2019 6:00:00,0.75,3,weekday
8/6/2020 5:00:00,0.75,3,weekday
8/4/2017 17:00:00,0.75,4,weekday
9/20/2019 2:00:00,0.75,4,weekday
5/5/2018 22:00:00,0.75,5,weekend
9/22/2018 15:00:00,0.75,5,weekend
2/16/2019 21:00:00,0.75,5,weekend
4/4/2020 13:00:00,0.75,5,COVID_lockdown
2/5/2017 4:00:00,0.75,6,weekend
11/26/2017 19:00:00,0.75,6,weekend
12/11/2017 11:00:00,0.875,0,weekday
1/27/2020 15:00:00,0.875,0,weekday
10/10/2017 19:00:00,0.875,1,weekday
10/31/2018 5:00:00,0.875,2,weekday
5/27/2020 22:00:00,0.875,2,COVID_lockdown
10/19/2017 20:00:00,0.875,3,weekday
2/14/2019 6:00:00,0.875,3,weekday
1/8/2016 11:00:00,0.875,4,weekday
7/6/2018 4:00:00,0.875,4,weekday
11/12/2016 19:00:00,0.875,5,weekend
7/4/2020 22:00:00,0.875,5,weekend
4/30/2017 0:00:00,0.875,6,weekend
11/29/2016 22:00:00,1,1,weekday
11/5/2019 23:00:00,1,1,weekday
8/6/2019 15:00:00,1,1,weekday
5/5/2020 2:00:00,1,1,COVID_lockdown
2/8/2017 17:00:00,1,2,weekday
9/22/2016 4:00:00,1,3,weekday
2/16/2018 22:00:00,1,4,weekday
6/10/2017 13:00:00,1,5,weekend
11/10/2018 22:00:00,1,5,weekend
5/17/2020 15:00:00,1,6,COVID_lockdown
10/3/2017 3:00:00,1.125,1,weekday
3/8/2017 19:00:00,1.125,2,weekday
8/16/2017 3:00:00,1.125,2,weekday
11/17/2016 11:00:00,1.125,3,weekday
10/31/2016 17:00:00,1.25,0,weekday
8/17/2016 16:00:00,1.25,2,weekday
8/26/2016 2:00:00,1.25,4,weekday
3/16/2018 2:00:00,1.25,4,weekday
6/11/2016 21:00:00,1.25,5,weekend
8/11/2018 18:00:00,1.25,5,weekend
5/7/2018 1:00:00,1.375,0,weekday
10/21/2019 20:00:00,1.375,0,weekday
9/26/2017 19:00:00,1.375,1,weekday
6/20/2020 23:00:00,1.375,5,COVID_lockdown
12/2/2018 18:00:00,1.375,6,weekend
7/31/2018 4:00:00,1.5,1,weekday
3/8/2018 5:00:00,1.5,3,weekday
6/15/2019 2:00:00,1.5,5,weekend
5/7/2019 0:00:00,1.625,1,weekday
5/6/2017 22:00:00,1.625,5,weekend
6/10/2017 16:00:00,1.625,5,weekend
6/8/2019 1:00:00,1.625,5,weekend
1/8/2017 18:00:00,1.625,6,weekend
6/28/2020 9:00:00,1.625,6,COVID_lockdown
7/20/2017 23:00:00,1.75,3,weekday
7/21/2018 1:00:00,1.75,5,weekend
3/6/2019 22:00:00,1.875,2,weekday
4/22/2017 19:00:00,1.875,5,weekend
1/10/2016 22:00:00,1.875,6,weekend
6/8/2016 21:00:00,4.125,2,weekday
8/13/2016 16:00:00,4.125,5,weekend
8/17/2019 20:00:00,4.375,5,weekend
12/8/2019 14:00:00,4.375,6,weekend
5/7/2016 17:00:00,4.625,5,weekend
10/9/2016 17:00:00,4.077,6,weekend
7/23/2016 17:00:00,4.827,5,weekend
8/16/2018 4:00:00,2.226,3,weekday
8/7/2018 15:00:00,2.351,1,weekday
10/10/2019 18:00:00,2.351,3,weekday
12/8/2017 17:00:00,2.351,4,weekday
12/9/2017 20:00:00,2.351,5,weekend
1/7/2018 4:00:00,2.351,6,weekend
10/14/2017 0:00:00,2.476,5,weekend
8/20/2017 12:00:00,2.476,6,weekend
9/6/2020 21:00:00,2.476,6,weekend
5/13/2018 17:00:00,4.452,6,weekend
5/22/2017 20:00:00,0.619,0,weekday
3/18/2019 21:00:00,0.619,0,weekday
5/27/2019 6:00:00,0.619,0,vacation
8/19/2019 12:00:00,0.619,0,weekday
10/14/2019 4:00:00,0.619,0,weekday
1/29/2019 4:00:00,0.619,1,weekday
8/28/2019 8:00:00,0.619,2,weekday
7/21/2017 11:00:00,0.619,4,weekday
5/3/2019 0:00:00,0.619,4,weekday
2/21/2020 1:00:00,0.619,4,weekday
7/30/2016 5:00:00,0.619,5,weekend
3/7/2020 7:00:00,0.619,5,COVID_lockdown
10/30/2016 3:00:00,0.619,6,weekend
8/20/2017 9:00:00,0.619,6,weekend
12/10/2017 3:00:00,0.619,6,weekend
7/14/2019 10:00:00,0.619,6,weekend
4/5/2020 3:00:00,0.619,6,COVID_lockdown
7/24/2017 15:00:00,1.113,0,weekday
8/22/2017 5:00:00,1.113,1,weekday
3/22/2017 19:00:00,1.113,2,weekday
10/16/2019 3:00:00,1.113,2,weekday
5/7/2020 18:00:00,1.113,3,COVID_lockdown
1/19/2018 6:00:00,1.113,4,weekday
10/7/2018 1:00:00,1.113,6,weekend
4/19/2017 19:00:00,1.238,2,weekday
7/25/2018 14:00:00,1.238,2,weekday
12/7/2017 0:00:00,1.238,3,weekday
5/28/2020 17:00:00,1.238,3,COVID_lockdown
6/15/2019 7:00:00,1.238,5,weekend
3/21/2019 10:00:00,0.401291164,3,weekday
6/6/2016 21:00:00,2.601,0,weekday
9/30/2019 21:00:00,2.601,0,weekday
5/16/2017 17:00:00,2.601,1,weekday
9/7/2017 18:00:00,2.851,3,weekday
7/20/2017 16:00:00,2.851,3,weekday
8/20/2017 17:00:00,2.976,6,weekend
1/10/2017 21:00:00,3.101,1,weekday
1/7/2018 16:00:00,3.101,6,weekend
9/19/2017 19:00:00,3.226,1,weekday
3/6/2018 3:00:00,3.226,1,weekday
4/10/2018 15:00:00,3.226,1,weekday
5/19/2019 13:00:00,3.226,6,weekend
6/21/2020 18:00:00,3.226,6,COVID_lockdown
4/26/2019 19:00:00,3.351,4,weekday
9/6/2019 17:00:00,3.351,4,weekday
5/17/2018 22:00:00,3.476,3,weekday
5/20/2018 20:00:00,3.476,6,weekend
3/8/2018 21:00:00,3.726,3,weekday
2/5/2017 22:00:00,3.726,6,weekend
8/17/2017 17:00:00,3.851,3,weekday
6/10/2016 17:00:00,3.851,4,weekday
11/20/2017 9:00:00,0.186,0,weekday
11/20/2017 12:00:00,0.186,0,weekday
12/30/2019 2:00:00,0.186,0,vacation
12/30/2019 17:00:00,0.186,0,vacation
5/1/2018 11:00:00,0.186,1,weekday
12/31/2019 0:00:00,0.186,1,vacation
7/20/2016 7:00:00,0.186,2,vacation
9/20/2017 13:00:00,0.186,2,weekday
11/24/2017 22:00:00,0.186,4,weekday
1/19/2018 11:00:00,0.186,4,weekday
7/16/2016 2:00:00,0.186,5,vacation
10/29/2016 14:00:00,0.186,5,weekend
12/28/2019 6:00:00,0.186,5,vacation
7/23/2017 9:00:00,0.186,6,weekend
3/10/2019 11:00:00,0.186,6,weekend
12/22/2019 23:00:00,0.186,6,vacation
4/24/2017 5:00:00,0.372,0,weekday
1/1/2018 14:00:00,0.372,0,weekday
2/19/2018 15:00:00,0.372,0,weekday
12/10/2018 10:00:00,0.372,0,weekday
11/26/2018 15:00:00,0.372,0,weekday
2/17/2020 8:00:00,0.372,0,weekday
9/27/2016 14:00:00,0.372,1,weekday
7/12/2016 7:00:00,0.372,1,weekday
6/27/2017 6:00:00,0.372,1,weekday
4/11/2017 16:00:00,0.372,1,weekday
7/17/2018 6:00:00,0.372,1,weekday
1/22/2019 22:00:00,0.372,1,weekday
3/3/2020 17:00:00,0.372,1,weekday
4/28/2020 11:00:00,0.372,1,COVID_lockdown
11/30/2016 0:00:00,0.372,2,weekday
1/25/2017 2:00:00,0.372,2,weekday
8/2/2017 7:00:00,0.372,2,weekday
3/22/2017 14:00:00,0.372,2,weekday
11/22/2017 13:00:00,0.372,2,weekday
6/20/2018 9:00:00,0.372,2,weekday
1/2/2019 1:00:00,0.372,2,weekday
7/31/2019 8:00:00,0.372,2,weekday
6/3/2020 14:00:00,0.372,2,COVID_lockdown
3/25/2020 9:00:00,0.372,2,COVID_lockdown
2/16/2017 16:00:00,0.372,3,weekday
9/14/2017 6:00:00,0.372,3,weekday
2/22/2018 15:00:00,0.372,3,weekday
1/11/2018 15:00:00,0.372,3,weekday
1/8/2016 9:00:00,0.372,4,weekday
12/1/2017 7:00:00,0.372,4,weekday
8/11/2017 16:00:00,0.372,4,weekday
12/15/2017 22:00:00,0.372,4,weekday
4/20/2018 7:00:00,0.372,4,weekday
10/4/2019 7:00:00,0.372,4,weekday
7/12/2019 8:00:00,0.372,4,weekday
5/1/2020 23:00:00,0.372,4,COVID_lockdown
11/6/2020 11:00:00,0.372,4,weekday
2/25/2017 9:00:00,0.372,5,weekend
10/14/2017 15:00:00,0.372,5,weekend
11/18/2017 12:00:00,0.372,5,weekend
4/14/2018 7:00:00,0.372,5,weekend
8/11/2018 16:00:00,0.372,5,weekend
3/2/2019 14:00:00,0.372,5,weekend
10/19/2019 6:00:00,0.372,5,weekend
1/12/2019 23:00:00,0.372,5,weekend
5/2/2020 21:00:00,0.372,5,COVID_lockdown
9/5/2020 4:00:00,0.372,5,weekend
12/3/2017 7:00:00,0.372,6,weekend
12/3/2017 9:00:00,0.372,6,weekend
9/24/2017 6:00:00,0.372,6,weekend
2/18/2018 1:00:00,0.372,6,weekend
5/13/2018 11:00:00,0.372,6,weekend
11/17/2019 11:00:00,0.372,6,weekend
11/21/2016 19:00:00,0.497,0,weekday
11/15/2016 6:00:00,0.497,1,weekday
10/16/2018 5:00:00,0.497,1,weekday
2/19/2019 11:00:00,0.497,1,weekday
1/18/2017 7:00:00,0.497,2,weekday
11/29/2017 19:00:00,0.497,2,weekday
7/12/2017 3:00:00,0.497,2,weekday
9/11/2019 23:00:00,0.497,2,weekday
11/20/2019 6:00:00,0.497,2,weekday
1/5/2017 0:00:00,0.497,3,weekday
9/21/2017 5:00:00,0.497,3,weekday
4/26/2018 8:00:00,0.497,3,weekday
9/20/2018 12:00:00,0.497,3,weekday
11/28/2019 20:00:00,0.497,3,weekday
9/30/2016 3:00:00,0.497,4,weekday
2/12/2016 7:00:00,0.497,4,weekday
12/16/2016 5:00:00,0.497,4,weekday
5/4/2018 6:00:00,0.497,4,weekday
9/17/2016 11:00:00,0.497,5,weekend
4/1/2017 23:00:00,0.497,5,weekend
12/1/2018 18:00:00,0.497,5,weekend
6/2/2018 21:00:00,0.497,5,weekend
3/17/2018 22:00:00,0.497,5,weekend
11/10/2018 6:00:00,0.497,5,weekend
10/20/2018 17:00:00,0.497,5,weekend
11/13/2016 10:00:00,0.497,6,weekend
9/24/2017 10:00:00,0.497,6,weekend
4/1/2018 16:00:00,0.497,6,weekend
12/15/2019 5:00:00,0.497,6,weekend
2/13/2017 6:00:00,0.744,0,weekday
3/20/2017 4:00:00,0.744,0,weekday
2/28/2017 15:00:00,0.744,1,weekday
1/2/2018 5:00:00,0.744,1,weekday
4/21/2020 0:00:00,0.744,1,COVID_lockdown
2/13/2019 15:00:00,0.744,2,weekday
4/29/2020 19:00:00,0.744,2,COVID_lockdown
5/27/2020 19:00:00,0.744,2,COVID_lockdown
9/8/2016 8:00:00,0.744,3,weekday
6/9/2016 5:00:00,0.744,3,weekday
3/1/2018 1:00:00,0.744,3,weekday
8/31/2018 14:00:00,0.744,4,weekday
9/4/2020 3:00:00,0.744,4,weekday
3/9/2019 5:00:00,0.744,5,weekend
9/14/2019 16:00:00,0.744,5,weekend
