predicted_total_kwh_per_day,Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
9.038173619,12/14/2016,9.839,63,90,6.9,0
9.491492648,4/3/2017,10.638,64,90,9,0
9.4553071,9/1/2019,8.907,64,90,9.3,0
9.90862613,2/12/2016,11.611,65,90,11.4,0
11.52691329,8/1/2020,11.105,67,90,9.7,0
12.54239901,10/26/2019,8.241,68,90,7.6,0.26
12.22146931,2/23/2020,10.913,68,90,9.8,0
12.86074732,3/11/2019,10.592,68,90,4.5,0
12.05260342,10/27/2017,7.764,68,90,11.2,0
12.73509758,11/22/2017,8.944,69,90,11.4,0
14.18451886,1/3/2020,11.372,71,90,11.1,0
15.51835288,10/11/2016,13.386,72,90,5.9,0
14.61371419,12/29/2016,5.909,72,90,13.4,0
15.15360343,4/4/2018,15.547,73,90,14.8,0.01
15.46507424,2/26/2017,11.033,73,90,12.2,0
16.99189785,5/12/2019,8.626,74,90,5.4,0
17.1004545,12/13/2019,10.589,74,90,4.5,0
16.70944408,9/1/2020,8.842,75,90,13.6,0
16.81800072,5/4/2017,12.53,75,90,12.7,0
18.00006195,4/12/2019,10.11,75,90,2.9,0
16.87327873,10/1/2020,9.437,76,90,18.1,0
17.91059776,9/11/2016,14.896,76,90,9.5,0
19.20824624,10/22/2016,14.585,77,90,4.6,0
19.41254097,10/4/2018,7.963,78,90,8.8,0.02
19.4586511,2/18/2020,10.094,78,90,8.4,0.01
19.75302882,3/17/2017,8.744,79,90,11.8,0
20.23550279,4/15/2019,8.633,79,90,7.8,0
19.70478142,1/3/2018,17.01,79,90,12.2,0
20.47673977,12/11/2016,14.982,79,90,5.8,0
19.58416293,12/16/2019,10.584,79,90,13.2,0
21.14717209,4/16/2018,8.336,80,90,6.1,0
20.31490449,4/16/2019,11.125,80,90,13,0
20.95356877,4/25/2020,13.998,80,90,7.9,0.11
21.34016168,10/18/2019,9.483,80,90,4.5,0
21.76935701,4/18/2018,13.201,81,90,6.8,0
21.5233798,10/21/2019,18.362,81,90,9.3,0.26
22.19152173,1/10/2016,42.203,81,90,3.3,0
21.83669686,2/28/2017,14.887,82,90,12.1,0
23.18259273,9/12/2019,11.292,83,90,6.8,0
22.78455171,8/5/2017,18.188,83,90,10.1,0
22.67599506,2/28/2018,15.771,83,90,11,0
22.8327991,9/5/2017,15.209,83,90,9.7,0
23.50323142,11/5/2017,19.041,84,90,10,0
23.67209731,3/16/2018,14.136,84,90,8.6,0
23.38261293,7/5/2020,15.263,84,90,11,0
22.46591239,4/29/2017,43.181,84,90,18.6,0
24.7043851,12/2/2017,21.634,85,90,5.9,0
24.53551921,1/5/2020,13.195,85,90,7.3,0
24.22191113,11/2/2017,14.057,85,90,9.9,0
25.10945673,10/6/2017,20.146,86,90,8.4,0
24.33749838,5/16/2017,23.285,86,90,14.8,0
24.38574578,3/5/2018,15.896,86,90,14.4,0
25.74598375,6/5/2018,26.534,86,90,3.3,0.1
25.5919307,2/10/2016,23.944,86,90,4.4,0
25.80843533,5/23/2017,14.513,87,90,8.8,0.19
26.21411562,8/4/2020,20.329,87,90,5.1,0
25.82248641,5/17/2020,19.607,87,90,8.4,0.03
24.81494111,4/30/2019,23.668,87,90,16.7,0
24.71844632,5/23/2019,22.195,87,90,17.5,0
26.61843055,6/13/2017,26.265,89,90,13.5,0.02
28.4545877,1/10/2017,30.398,90,90,4.1,0
28.40634031,7/5/2018,23.494,90,90,4.5,0
27.82737154,6/27/2020,29.457,90,90,9.3,0
28.43046401,1/9/2017,30.778,90,90,4.3,0
27.68262935,5/25/2017,18.384,90,90,10.5,0
27.7429386,9/29/2019,29.898,90,90,10,0
28.11182468,5/28/2019,11.927,91,90,12.8,0
28.41337092,6/28/2020,31.111,91,90,10.3,0
29.11295817,7/17/2017,26.897,91,90,4.5,0
28.24450503,5/28/2017,26.194,91,90,11.7,0
28.95615413,6/13/2019,30.395,91,90,5.8,0
29.15907337,6/14/2017,29.41,92,90,10.1,0.07
29.73450781,7/23/2017,16.967,92,90,6.8,0.9
29.46565591,7/6/2017,29.238,92,90,7.7,0.15
28.84256625,7/13/2019,35.303,92,90,12.6,0
29.81957603,8/20/2019,34.104,92,90,4.5,0
30.11609102,7/19/2019,40.793,93,90,7.9,0
29.82660664,6/15/2019,39.181,93,90,10.3,0
30.24602037,8/30/2016,33.066,93,90,7,0.1
30.05578178,2/7/2017,17.037,93,90,8.4,0
30.09196732,6/28/2018,42.551,93,90,8.1,0
30.14021472,5/7/2017,38.479,93,90,7.7,0
30.36938986,6/17/2020,32.157,93,90,5.8,0
31.11020404,8/24/2019,38.087,94,90,5.8,0.16
31.01783574,7/21/2019,37.524,94,90,6.3,0.01
31.09905201,6/8/2017,12.585,94,90,6.3,0.39
30.90714183,6/15/2017,38.956,94,90,7.2,0
30.9428617,10/7/2016,44.535,94,90,7.4,0.28
30.85889443,6/18/2020,35.148,94,90,7.6,0
31.11219327,5/29/2018,17.669,94,90,5.5,0
31.01569847,6/14/2016,46.684,94,90,6.3,0
31.12425512,8/23/2017,31.535,94,90,5.4,0
31.86705853,6/17/2016,41.361,95,90,5.1,0
31.80674928,7/21/2017,23.649,95,90,5.6,0
31.4690175,7/20/2019,33.162,95,90,8.4,0
31.75850189,7/17/2016,14.246,95,90,6,0
31.66200709,7/30/2017,19.675,95,90,6.8,0
31.63788339,7/27/2019,44.617,95,90,7,0
31.99973887,7/22/2019,31.001,95,90,4,0
31.589636,2/9/2016,24.097,95,90,7.4,0
31.94309044,5/8/2019,36.171,95,90,4.7,0.13
32.24449369,7/29/2019,34.456,96,90,7.9,0.04
32.08203961,6/23/2017,30.763,96,90,9.3,0.07
32.5013053,12/8/2017,33.197,96,90,5.7,0
32.34450126,6/6/2020,30.628,96,90,7,0
32.51336715,7/31/2016,52.989,96,90,5.6,0
32.65673384,9/13/2019,25.758,96,90,4.5,0.05
32.69429488,5/8/2016,48.771,96,90,4.1,0
32.75460413,2/8/2019,34.988,96,90,3.6,0
32.26006831,9/9/2019,34.941,96,90,7.7,0
33.24410871,6/8/2019,39.898,97,90,5.4,0
33.19586131,6/8/2016,55.993,97,90,5.8,0
32.94256248,8/7/2016,43.316,97,90,7.9,0
33.50946939,10/7/2019,40.361,97,90,3.2,0
33.14761391,8/16/2019,40.477,97,90,6.2,0
33.23204686,7/27/2017,19.411,97,90,5.5,0
33.93866472,7/23/2016,62.589,98,90,5.5,0
33.87835547,7/28/2017,22.399,98,90,6,0
33.98691212,6/9/2019,39.23,98,90,5.1,0
33.90247917,8/18/2017,37.583,98,90,5.8,0
34.83827217,5/9/2019,37.948,99,90,3.9,0
35.30365305,10/8/2019,26.654,100,90,5.9,0
35.388086,7/8/2016,61.38,100,90,5.2,0
35.91377612,8/14/2019,44.204,101,90,6.7,0
15.41387577,9/2/2020,9.902,73,91,11.9,0
19.19523268,3/24/2017,12.472,79,91,15.7,0
19.99834534,2/19/2018,11.799,80,91,14.9,0
20.76128893,7/3/2017,10.888,80,91,9,0.24
20.78664008,5/3/2018,14.073,80,91,8.4,0.02
21.13857605,12/17/2016,12.054,81,91,11.5,0.11
21.91817873,7/10/2019,19.832,82,91,10.7,0
25.37078694,6/26/2020,24.384,86,91,6.2,0.39
24.73258834,5/13/2020,22.825,86,91,10.8,0
25.05825827,3/27/2017,19.489,86,91,8.1,0
26.79191492,4/10/2017,29.84,88,91,9.2,2.12
27.2866685,3/25/2020,17.231,89,91,7.2,0
26.26141131,6/21/2017,23.263,89,91,15.7,0
28.16215225,6/19/2016,47.559,90,91,5.8,0
27.92091527,4/5/2020,22.112,90,91,7.8,0
27.90548869,6/26/2017,21.789,90,91,8.3,0.21
27.86274329,5/20/2017,44.704,90,91,8.3,0.01
28.34307999,7/10/2017,24.51,90,91,4.3,0
27.94503897,7/28/2019,39.941,90,91,7.6,0
28.64890583,9/14/2016,40.039,91,91,7.8,0.1
28.77930593,5/19/2018,40.785,92,91,12.4,0
29.74852841,4/10/2019,23.849,92,91,4.4,0.02
29.52210934,6/22/2019,32.657,93,91,12.1,0
30.24582029,7/7/2020,38.483,93,91,6.1,0
